sample,type,setting
Anc+_0gen_REL607,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Anc+_0gen_REL607,illumina-PE,sra://SRR030252
Ara+1_10000gen_4530A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_10000gen_4530A,illumina-SE,sra://SRR2584470
Ara+1_10000gen_4530B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_10000gen_4530B,illumina-SE,sra://SRR2584490
Ara+1_1000gen_958A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_1000gen_958A,illumina-SE,sra://SRR2584410
Ara+1_1000gen_958B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_1000gen_958B,illumina-SE,sra://SRR2584411
Ara+1_15000gen_7183A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_15000gen_7183A,illumina-SE,sra://SRR2584518
Ara+1_15000gen_7183B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_15000gen_7183B,illumina-SE,sra://SRR2584508
Ara+1_1500gen_1062A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_1500gen_1062A,illumina-SE,sra://SRR2584438
Ara+1_1500gen_1062B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_1500gen_1062B,illumina-SE,sra://SRR2584462
Ara+1_20000gen_9282A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_20000gen_9282A,illumina-SE,sra://SRR2584519
Ara+1_20000gen_9282B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_20000gen_9282B,illumina-SE,sra://SRR2584520
Ara+1_2000gen_1158A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_2000gen_1158A,illumina-SE,sra://SRR2584463
Ara+1_2000gen_1158C,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_2000gen_1158C,illumina-SE,sra://SRR2584464
Ara+1_30000gen_10450,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_30000gen_10450,illumina-SE,sra://SRR2584521
Ara+1_30000gen_10451,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_30000gen_10451,illumina-SE,sra://SRR2584522
Ara+1_40000gen_11008,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_40000gen_11008,illumina-SE,sra://SRR2086043
Ara+1_40000gen_11009,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_40000gen_11009,illumina-SE,sra://SRR2086070
Ara+1_50000gen_11392,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_50000gen_11392,illumina-SE,sra://SRR2584524
Ara+1_50000gen_11393,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_50000gen_11393,illumina-PE,sra://SRR2584534
Ara+1_5000gen_2173A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_5000gen_2173A,illumina-SE,sra://SRR2584466
Ara+1_5000gen_2173B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_5000gen_2173B,illumina-SE,sra://SRR2584467
Ara+1_500gen_768A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_500gen_768A,illumina-SE,sra://SRR2584408
Ara+1_500gen_768B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+1_500gen_768B,illumina-SE,sra://SRR2584409
Ara+2_10000gen_4531A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+2_10000gen_4531A,illumina-SE,sra://SRR2584637
Ara+2_10000gen_4531B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+2_10000gen_4531B,illumina-SE,sra://SRR2584654
Ara+2_1000gen_959A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+2_1000gen_959A,illumina-SE,sra://SRR2584583
Ara+2_1000gen_959B,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+2_1000gen_959B,illumina-SE,sra://SRR2584607
Ara+2_15000gen_7184A,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
Ara+2_15000gen_7184A,illumina-SE,sra://SRR2584655
