sample,type,setting
Ara-1_10000gen_4536A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode08.fastq.gz
Ara-1_10000gen_4536B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode09.fastq.gz
Ara-1_20000gen_8593A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode10.fastq.gz
Ara-1_20000gen_8593B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode11.fastq.gz
Ara-1_30000gen_10391,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode12.fastq.gz
Ara-1_30000gen_10392,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode13.fastq.gz
Ara-1_40000gen_10938,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode14.fastq.gz
Ara-1_40000gen_10939,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode15.fastq.gz
Ara-1_50000gen_11330,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode16.fastq.gz
Ara-1_50000gen_11331,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode17.fastq.gz
Ara-1_60000gen_11691,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode18.fastq.gz
